Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P1,17,Head,13.413145490703313,[ 4.89968868  3.46221835 11.18094723],4.412267481013868,2.100539807052908
P1,17,RightShoulder,17.53901821593785,[10.4705073  11.10364096  4.79236307],156.2882183754141,12.501528641546765
P1,17,RightUpperArm,20.08790194778466,[ 6.33950614 17.10928984  7.57313431],68.81258254801463,8.295334987088504
P1,17,RightForeArm,319.74900243822105,[13.05562906 32.73989318  7.46079442],324.54612830252967,18.01516384334402
P1,17,RightHand,5.822375622450496,[5.19485505 1.75554223 1.58991639],0.9878613908384068,0.993912164548964
P1,17,LeftShoulder,349.6121743810693,[3.6557904  8.28487156 2.92675654],18.31921307373551,4.280094984195504
P1,17,LeftUpperArm,11.444051907470598,[5.32462113 7.94307586 3.81819919],13.096839215861323,3.6189555421227992
P1,17,LeftForeArm,328.40630565606807,[15.43503269 23.55158424 16.85811287],274.01679100782405,16.55345254041658
P1,17,LeftHand,17.819448926618566,[ 3.95814287 16.83476352  4.54511971],6.966250253052918,2.6393655019820423
P1,17,RightUpperLeg,20.062528172895597,[11.62438627  5.25675979 12.00587711],156.65796174120374,12.516307831832986
P1,17,RightLowerLeg,15.589408719039206,[ 5.48456181  7.02398065 11.79280856],100.64928080264495,10.032411514817609
P1,17,RightFoot,18.34703486985421,[ 2.09958257  1.41870462 17.9026817 ],85.87575957805889,9.266917479834321
P1,17,LeftUpperLeg,17.649730058907085,[ 5.51828021  3.97980582 14.07304113],372.67516518897037,19.304796429617443
P1,17,LeftLowerLeg,20.299394967284847,[ 6.49050601  6.6815874  16.7797258 ],89.69179441539514,9.470575189258314
P1,17,LeftFoot,nan,[1.57110151 0.96840347 3.71185941],nan,nan
P1,18,Pelvis,14.007865164113825,[ 3.70710346 11.93930087  4.33103814],63.77822088238154,7.98612677600234
P1,18,T8,14.760248157265895,[4.09003155 9.76863266 8.7787483 ],79.13152485624461,8.895590191563716
P1,18,Head,7.614446079333024,[2.5245397  2.45625955 6.36057489],3.821777923273355,1.9549368080000322
P1,18,RightShoulder,21.69120886610765,[ 8.84764537 16.65216357  6.80301618],101.187525611799,10.059201042418776
P1,18,RightUpperArm,34.52150803973473,[ 6.42338329 33.56789476  5.49106745],35.99244007433075,5.999369973116407
P1,18,RightForeArm,321.5027577015748,[ 8.2430244  36.82694046  3.30694322],300.0980418853513,17.323338069937655
P1,18,RightHand,5.183463434338062,[4.7734173  0.78273503 1.73033413],0.5706502093853493,0.7554139324802986
P1,18,LeftShoulder,349.1409559930341,[4.25157644 7.65466348 4.65106159],5.430289295159521,2.3302981129373816
P1,18,LeftUpperArm,14.690821077171393,[10.04791698  8.10367008  4.81727054],7.941562728309132,2.8180778428406006
P1,18,LeftForeArm,333.6682844920503,[12.46506793 21.34484349 10.57223549],61.03707705631176,7.812622930636788
P1,18,LeftHand,17.9509469507216,[ 0.99645225 17.39718623  4.18062456],1.7392131141587555,1.31879229378957
P1,18,RightUpperLeg,20.69978242590203,[11.44834898  6.64756167 11.13877884],403.1166711294832,20.077765591058263
P1,18,RightLowerLeg,22.787335748734257,[ 4.69613413 10.37782219 14.74278337],761.4115542533858,27.59368685502874
P1,18,RightFoot,24.10991552378443,[ 3.93044337  2.3640849  20.18905658],805.7342802030109,28.38545895706129
P1,18,LeftUpperLeg,22.54004333563669,[ 4.2243641   4.28284344 18.95097601],749.0032478613265,27.367923703878716
P1,18,LeftLowerLeg,20.468820687959155,[ 7.14463231  7.31911146 14.7125529 ],289.9550192097404,17.02806563323446
P1,18,LeftFoot,13.383727455074295,[ 3.8434187   2.20733212 10.43298716],300.747192075983,17.342064239183955
P1,19,Pelvis,16.979501586690404,[ 4.86249598 11.48352589 12.03232425],1.1408943590034024,1.068126565067737
P1,19,T8,15.895540454474807,[ 4.54545835 13.22477827  6.8890676 ],91.98779240930563,9.59102666085887
P1,19,Head,10.158094738048277,[9.34753018 1.67385952 3.21802827],0.20307646254891099,0.45064005874856594
P1,19,RightShoulder,27.41906424629316,[10.19824003 24.64774938  8.41465426],144.6782058149708,12.028225380951705
P1,19,RightUpperArm,24.014253315110594,[ 8.01994834 19.04762974 10.76390959],109.63059067995314,10.47046277296057
P1,19,RightForeArm,315.09889746990507,[ 8.11405976 42.25656997  7.15724618],280.52996935655887,16.749028907866833
P1,19,RightHand,5.558159652004288,[4.3438853  2.3091879  1.78834306],1.3501169994405122,1.161945351314128
P1,19,LeftShoulder,341.76497188607226,[ 2.30163666 17.5386834   3.49855167],6.027649045060788,2.4551270934639593
P1,19,LeftUpperArm,16.771796009304406,[11.54833851 10.5341825   5.61465625],14.240030033205967,3.773596432212375
P1,19,LeftForeArm,342.6226228310318,[ 6.25912967 14.93015602  2.57246509],29.339210887880597,5.416568183627027
P1,19,LeftHand,21.152772437592883,[ 4.97759676 19.72718737  3.89389485],27.125813625887293,5.208244773998942
P1,19,RightUpperLeg,10.320631535165196,[9.76757208 1.08815353 2.8381279 ],2.181884922308034,1.477120483341841
P1,19,RightLowerLeg,12.864204208623248,[ 2.01630946  5.37675324 11.39042198],1.0054724329448135,1.0027324832400781
P1,19,RightFoot,21.76532820959836,[ 0.42041941  0.20931326 21.75789229],0.3454964718138459,0.5877894791622643
P1,19,LeftUpperLeg,8.155339695119311,[7.49734897 0.72409487 3.09005414],0.08259353413462178,0.28739090823236174
P1,19,LeftLowerLeg,27.32569164495148,[ 5.00576949  1.91812027 26.69062595],11.812455801526475,3.4369253412791023
P1,19,LeftFoot,27.821036518179035,[ 0.37508156  0.44357749 27.8126588 ],0.6927485188323579,0.8323151559549771
P2,1,Pelvis,9.074238151430624,[0.87839551 0.7965545  8.98987135],0.040298865641860686,0.2007457736587764
P2,1,T8,10.332322801006564,[0.20787659 4.49811639 9.2917413 ],0.04415478311404203,0.2101303955025118
P2,1,Head,5.063759853591816,[0.51446124 4.46350418 2.30550951],0.03743434838168981,0.19347958130430665
P2,1,RightShoulder,16.24322531200973,[ 1.76413497  3.29403292 15.85765655],0.041454474377625686,0.20360371896806229
