Subject,Movement,Segment1,Segment2,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P1,17,LeftUpperArm,LeftForeArm,33.74716496594962,[81019.51008424 98532.32602175 50540.32655903],233.47744332603355,15.279968695191544
P1,17,RightForeArm,RightHand,44.15938702024161,[ 79898.51215077 138199.11261468  47701.45784346],264.4272994298439,16.26122072385231
P1,17,LeftForeArm,LeftHand,42.56792453530994,[ 90543.79539967 139112.2849332   66511.53381751],582.8894427586837,24.143103420204366
P1,17,T8,Pelvis,19.924175380621026,[17135.07213656 57797.35715387 43101.3012648 ],34.41748261969073,5.8666415110939525
P1,17,Pelvis,RightUpperLeg,24.18805091571666,[50030.75662576 56017.8260122  45129.0022999 ],179.65057897575275,13.403379386399266
P1,17,Pelvis,LeftUpperLeg,26.58729585937985,[47473.93561356 52684.4131819  74090.19422553],459.99076757476246,21.44739535642411
P1,17,RightUpperLeg,RightLowerLeg,25.458235866822115,[58479.50361388 41302.75578859 49842.78263978],309.42969470251825,17.590613823926617
P1,17,LeftUpperLeg,LeftLowerLeg,28.787325434455504,[45232.23433688 51690.41239954 76358.8579148 ],379.7182829584807,19.48636146022342
P1,17,RightLowerLeg,RightFoot,22.330648110584654,[28148.70963746 26884.73663178 72219.35713643],87.62469036522074,9.360806074544048
P1,17,LeftLowerLeg,LeftFoot,20.174309915449527,[24642.68745168 26596.98542201 65146.98078625],83.69814653360451,9.148669112696366
P1,18,Head,T8,17.994134972195315,[13580.22292437 25475.71215211 43618.50386857],39.47351290535729,6.282794991511126
P1,18,RightUpperArm,T8,30.448825170404252,[44839.64794132 22609.98163016 84571.50609626],191.49904478639874,13.838317989784695
P1,18,RightUpperArm,RightForeArm,24.6823710827804,[18595.21337684 47978.85132424 55409.29396158],59.78818204245064,7.7322818134397195
P1,18,LeftUpperArm,T8,25.24921340834363,[36638.86074129 42108.04063987 52475.30038839],51.43739283107114,7.171986672538589
P1,18,LeftUpperArm,LeftForeArm,35.2237236462329,[ 46568.22218484 106594.11696855  35629.38790317],124.68344743419458,11.166174252365694
P1,18,RightForeArm,RightHand,40.08005709968364,[ 50655.07688737 124048.61161803  26747.52484301],254.91324875346984,15.966002904718195
P1,18,LeftForeArm,LeftHand,36.4840206518188,[ 55044.46503127 111010.15713921  24160.1740721 ],211.89423302732976,14.556587272686196
P1,18,T8,Pelvis,17.783045312629387,[16504.48491225 44723.3583729  30285.91251955],36.50658594196932,6.042068018648029
P1,18,Pelvis,RightUpperLeg,22.4281839894738,[38319.6926882  43884.28243606 35021.47699868],179.00645476683982,13.379329384047612
P1,18,Pelvis,LeftUpperLeg,27.92537344985306,[29482.40784125 41753.74992168 76195.16787544],328.5694516901754,18.12648481339323
P1,18,RightUpperLeg,RightLowerLeg,32.75625488000457,[42991.07245172 62363.01637661 64182.98151823],306.260679234095,17.500305118314223
P1,18,LeftUpperLeg,LeftLowerLeg,25.543036200882558,[28589.45997222 45033.93143673 57070.76912953],302.86143441240444,17.402914537869925
P1,18,RightLowerLeg,RightFoot,23.07682345948835,[26471.62098543 35284.39370615 54565.17388606],107.44440733033682,10.365539413380127
P1,18,LeftLowerLeg,LeftFoot,21.111389185083528,[30969.94609599 26864.83698212 48229.72594827],109.62259784471999,10.47008108109579
P1,19,Head,T8,17.692601216203048,[31991.30042797 54861.47232251 42701.06844882],37.48440972405772,6.122451283926865
P1,19,RightUpperArm,T8,31.88685388057616,[ 83868.35750907 115292.40133896  38929.71402646],269.96187841772417,16.4305166813988
P1,19,RightUpperArm,RightForeArm,36.3673134663253,[ 68660.8544888  146209.58621195  47769.29285256],389.24950272886696,19.729407054670116
P1,19,LeftUpperArm,T8,30.143632479494546,[69469.15829633 99395.70715261 59209.1285479 ],139.5164975060554,11.811710185491998
P1,19,LeftUpperArm,LeftForeArm,9.837417085738819,[19200.78229468 37414.81713354 12025.85271899],26.054526279895057,5.104363454917278
P1,19,RightForeArm,RightHand,46.58138101594303,[ 92155.77804984 172967.39698788  69510.17367529],216.6324221832586,14.718438170650396
P1,19,LeftForeArm,LeftHand,9.847215792403317,[16659.5074694  38197.1287358   9952.77891239],33.82704887080067,5.81610254988688
P1,19,T8,Pelvis,30.674834047077024,[ 18878.90920913 120740.46805138  74433.70016721],81.15841165984457,9.008796349115933
P1,19,Pelvis,RightUpperLeg,16.44151141461137,[42069.7201105  51459.52240871 44040.93022481],0.6484915683549022,0.8052897418661821
P1,19,Pelvis,LeftUpperLeg,21.004089641797663,[37881.70963199 53068.79370364 71671.49963695],0.8768044793497484,0.9363783847087396
P1,19,RightUpperLeg,RightLowerLeg,13.133119534992035,[34637.62847966 32063.49824507 40897.67127996],0.4686397812652325,0.6845726997662356
P1,19,LeftUpperLeg,LeftLowerLeg,26.29980797733218,[ 57943.68197976  12826.56495434 108035.17628803],11.076146783278949,3.3280845517022173
P1,19,RightLowerLeg,RightFoot,33.62180024176763,[ 27963.97645869  13797.95257474 157013.78170643],0.9587848167025785,0.9791755801196119
P1,19,LeftLowerLeg,LeftFoot,3.6501198546740463,[ 8474.02925428  6911.65325372 12107.55712994],1.7056358201698705,1.3059999311523223
P2,1,Head,T8,7.187942791052998,[ 374.07576166   56.49449492 5591.6529409 ],0.2375922341199726,0.4874343382651376
P2,1,RightUpperArm,T8,16.22670714767917,[ 1667.58919622  1847.50762377 12445.43330299],0.019997796661616083,0.14141356604518565
